stock_code,stock_name,report_year,report_quarter,declare_date,act_np,con_np,excess_rate
99,中信海直,2017,1,2017-04-25,9637.5754,10249.28,-0.0597
99,中信海直,2017,4,2018-03-27,9098.3258,10200.0,-0.108
99,中信海直,2018,2,2018-08-28,10400.0,11600.0,-0.1034
99,中信海直,2018,4,2019-01-29,14557.0,10400.0,0.3997
99,中信海直,2019,2,2019-08-27,14400.0,13100.0,0.0992
99,中信海直,2019,3,2019-10-11,14815.2222,15645.6667,-0.0531
99,中信海直,2019,4,2020-03-24,21146.1481,16900.0,0.2513
100,TCL集团,2016,1,2016-04-09,229672.0287,297325.2936,-0.2275
100,TCL集团,2016,2,2016-07-15,210465.7688,223386.7778,-0.0578
100,TCL集团,2016,3,2016-10-26,237310.0,218163.3333,0.0878
100,TCL集团,2017,1,2017-04-08,250963.0323,311886.0119,-0.1953
100,TCL集团,2016,4,2017-04-28,160212.6,166323.0266,-0.0367
100,TCL集团,2017,2,2017-07-13,303117.4983,279135.4158,0.0859
100,TCL集团,2017,3,2017-10-26,273463.3766,267076.41,0.0239
100,TCL集团,2017,4,2018-01-16,280000.0,281084.0998,-0.0039
100,TCL集团,2018,4,2019-03-20,346821.1,355885.4114,-0.0255
100,TCL集团,2019,1,2019-04-24,415118.3178,426008.9091,-0.0256
100,TCL集团,2019,2,2019-08-13,402919.1875,419167.7895,-0.0388
100,TCL集团,2019,3,2019-10-31,365549.7347,396162.5081,-0.0773
100,TCL科技,2019,4,2020-03-31,261776.5,340798.2897,-0.2319
150,宜华健康,2016,1,2016-04-09,109093.3333,121900.0,-0.1051
150,宜华健康,2016,2,2016-08-31,108200.0,82734.0,0.3078
150,宜华健康,2016,3,2016-10-31,104017.3923,110802.02,-0.0612
150,宜华健康,2016,4,2017-01-24,96000.0,105575.2222,-0.0907
150,宜华健康,2017,1,2017-04-27,29697.0,28538.2,0.0406
150,宜华健康,2017,3,2017-10-30,26576.4706,25533.3333,0.0409
150,宜华健康,2017,4,2018-01-31,23000.0,23200.0,-0.0086
151,中成股份,2016,4,2017-03-31,10087.9898,16700.0,-0.3959
151,中成股份,2017,1,2017-04-27,14700.0,22200.0,-0.3378
155,川化股份,2017,4,2018-04-14,32489.72,32229.0,0.0081
156,华数传媒,2016,2,2016-08-26,63610.21,68981.8001,-0.0779
156,华数传媒,2016,3,2016-10-28,66200.0,63610.21,0.0407
156,华数传媒,2016,4,2017-03-27,60209.58,63219.4423,-0.0476
156,华数传媒,2017,1,2017-04-26,71781.1429,75887.2,-0.0541
156,华数传媒,2017,3,2017-10-31,66140.0,75938.984,-0.129
156,华数传媒,2017,4,2018-02-02,63893.55,66140.0,-0.034
156,华数传媒,2019,2,2019-08-30,74121.8182,69880.0284,0.0607
156,华数传媒,2019,4,2020-01-20,64500.0,70900.4455,-0.0903
157,中联重科,2016,1,2016-04-15,54707.7143,63887.7143,-0.1437
157,中联重科,2016,2,2016-07-15,53200.0,46000.0,0.1565
157,中联重科,2016,3,2016-10-14,-7002.8571,-10533.3333,0.3352
157,中联重科,2016,4,2017-01-25,-70000.0,1165.9868,-61.035
157,中联重科,2017,1,2017-04-07,83718.3462,74380.6438,0.1255
157,中联重科,2017,2,2017-07-15,135229.4448,108250.5457,0.2492
157,中联重科,2017,3,2017-10-14,152750.0635,162953.3968,-0.0626
157,中联重科,2017,4,2018-01-31,140000.0,259794.92,-0.4611
157,中联重科,2018,1,2018-04-14,175810.7826,169691.7895,0.0361
157,中联重科,2018,2,2018-08-31,158639.2871,172487.505,-0.0803
157,中联重科,2018,4,2019-01-29,195000.0,165859.7368,0.1757
157,中联重科,2019,1,2019-04-08,314377.2608,293836.5263,0.0699
157,中联重科,2019,2,2019-07-13,398976.5988,338940.0809,0.1771
157,中联重科,2019,3,2019-10-31,424957.6203,409404.1166,0.038
157,中联重科,2019,4,2020-01-16,430000.0,427162.5311,0.0066
158,常山股份,2016,1,2016-04-29,35092.5,36900.0,-0.049
158,常山股份,2016,2,2016-07-14,35525.0,33650.0,0.0557
158,常山股份,2016,4,2017-04-15,34991.45,43263.0227,-0.1912
158,常山股份,2017,1,2017-04-29,52306.5859,48314.8066,0.0826
158,常山股份,2017,2,2017-08-30,58500.0,50857.0,0.1503
158,常山股份,2017,3,2017-10-13,52385.6,58500.0,-0.1045
